PC1	PC2	Cluster	Protein
-1.1637652652767076	0.0881321968948642	2	 P0DSN6 
-0.43879876751597297	0.5623144000434653	0	 P0DTE0 
-1.6249121146519465	0.06572929427413812	2	 P59533 
1.3967258528408377	-0.7484348849397707	1	 P59534 
-0.010029761595587626	0.31587058929478823	0	 P59535 
2.423246743231176	0.49061938811527306	3	 P59536 
0.8838427095677183	0.1306563191352469	1	 P59537 
-0.39539088219453167	0.6189577028836489	0	 P59538 
1.1064285326586616	-0.4984299113255629	1	 P59539 
-1.3199563312378928	-0.03876549267448157	2	 P59540 
-0.32392701909973354	0.12723080508558005	0	 P59541 
-0.9723969140578991	-1.0695073051012962	2	 P59542 
-0.7524907727012999	0.237389379942437	0	 P59543 
-0.796825476283571	0.05268142235283291	0	 P59544 
-0.17885080955081795	-0.3843509057747188	0	 P59551 
1.9968685409570772	-0.5128607001356053	1	 Q7RTR8 
-0.5755045840922834	0.405754656348098	0	 Q9NYV7 
2.0174238069179258	-0.46041556488497354	1	 Q9NYV8 
-1.8538362902525807	-0.13551666845818203	2	 Q9NYV9 
1.791246738109261	0.34615528907910775	3	 Q9NYW0 
-1.3711425283180456	0.27059449957213666	2	 Q9NYW1 
0.8331111370881278	-0.2173930228890355	1	 Q9NYW2 
1.6529563430756793	1.2437045286793924	3	 Q9NYW3 
-1.3622069290268428	0.0756952347484385	2	 Q9NYW4 
-1.6473193875130867	-0.1090112770739597	2	 Q9NYW5 
-1.1820165468249568	-0.47009924885410215	2	 Q9NYW6 
1.867519975747279	-0.38670072433774616	1	 Q9NYW7 
